XYDATA, head_z_accel
0.0 -0.0
0.0 0.14038198569338153
1e-06 0.3197085651063309
3e-06 0.36474667699979096
1.6e-05 -0.024882401227738323
7.8e-05 -0.1273050430065313
0.000328 -0.054731126327543046
0.000728 0.0028604059490243867
0.001248 0.007565580498947143
0.001864 0.0021973864673461374
0.002557 0.0051273370620956195
0.003311 0.012397403802521759
0.004115 0.0224257009274319
0.004957 0.035431977280722775
0.005831 0.051564193684897494
0.006731 0.07073281905645659
0.00765 0.09297486909393117
0.008586 0.1181750138936334
0.009534 0.14591618952445534
0.010493 0.17567936043399124
0.01146 0.20707264968159364
0.012434 0.239626070064701
0.013413 0.27405362687564055
0.014396 0.30763798035006856
0.015382 0.34047947056334227
0.016371 0.3727394166203546
0.017363 0.40647275063349875
0.018356 0.43727919320053227
0.01935 0.4666414116951253
0.020346 0.4927219794731127
0.021342 0.5191906512417594
0.022339 0.5416350129758889
0.023337 0.5638428005486074
0.024335 0.5857360056696221
0.025334 0.6042866830161167
0.026333 0.6214494246251269
0.027332 0.6360639973895265
0.028331 0.6486213946658645
0.02933 0.660295513758521
0.03033 0.6697523619176783
0.03133 0.6791826974552982
0.032329 0.6841656427016362
0.033329 0.6884218362029848
0.034329 0.692082107549469
0.035329 0.6956651863786308
0.036329 0.6994027522140589
0.037328 0.701693646658135
0.038328 0.7033065317922023
0.039328 0.7018931031493936
0.040328 0.6887315240168661
0.041328 0.6778459514717055
0.042328 0.6673091218713832
0.043328 0.654194551656274
0.044328 0.641369682817272
0.045328 0.6258772363651196
0.046328 0.6100494052505189
0.047328 0.5924270775443194
0.048328 0.5731449577582559
0.049328 0.5512254439589462
0.050328 0.5259195545879582
0.051328 0.497525964524073
0.052328 0.4668326084850587
0.053328 0.43939153533571607
0.054328 0.415840883482127
0.055328 0.3985829003788246
0.056328 0.3829510587203581
0.057328 0.36600266145931587
0.058328 0.34596370829998013
0.059328 0.3267945730703145
0.060328 0.31361535284730263
0.061328 0.3053625855924297
0.062328 0.29813544890456983
0.063328 0.2918640922231343
0.064328 0.28546302763940795
0.065328 0.2712241183278694
0.066328 0.250023096572224
0.067328 0.23692106886653447
0.068328 0.23084508981150548
0.069328 0.24531985948310586
0.070328 0.2549693320348947
0.071328 0.28378681812851486
0.072328 0.32261516419980324
0.073328 0.38456751286117075
0.074328 0.47734506686789063
0.075328 0.599979095817634
0.076328 0.7553717120525358
0.077328 0.9558858529671194
0.078328 1.2219377667195221
0.079328 1.5690063375362637
0.080328 2.015198564239572
0.081328 2.6102180663121453
0.082328 3.5502540622944636
0.083328 5.279430998353159
0.084328 8.521512850973574
0.085328 13.864794705633422
0.086328 21.560979641365808
0.087328 30.235486328154874
0.088328 35.46832883808436
0.089328 34.723612038769616
0.090328 29.265002829712493
0.091328 22.306528733053593
0.092328 15.806125537262982
0.093328 10.552616540816691
0.094328 6.657450199609449
0.095328 3.9582668903244227
0.096328 2.105111021602688
0.097328 0.8724761258941637
0.098328 0.055305022612207023
0.099328 -0.43779731100834646
0.100328 -0.8191435403527199
0.101328 -1.116498600439498
0.102328 -1.2082693886291445
0.103328 -1.196668179245716
0.104328 -0.9661895754411548
0.105328 -0.567516226234239
0.106328 -0.051385743347626356
0.107328 0.6247536110700392
0.108328 1.4707764629103721
0.109328 2.684369585944232
0.110328 4.672805698174199
0.111328 7.896781469716978
0.112328 13.770971738565159
0.113328 23.168989920105236
0.114328 32.447190528875815
0.115328 35.94191298761555
0.116328 32.537074128270106
0.117328 24.904023902148033
0.118328 17.352806106060687
0.119328 11.42611676770355
0.119614 6.444034303253405
0.120042 3.290477482116727
0.120534 1.4301604523461122
0.120731 0.3978243334879903
0.120936 -0.34318396190340233
0.1213 -1.196670218678142
0.121533 -1.724518872397812
0.121791 -2.1426576863658844
0.122198 -2.720602958196734
0.122698 -3.799823895010019
0.122898 -4.6642484436581295
0.123087 -5.138706999841944
0.123437 -5.313223169991792
0.123918 -5.593389791620992
0.124503 -6.185496474331194
0.12498 -7.47579244696201
0.125561 -8.422353708962795
0.126226 -8.960249830472181
0.126784 -8.541152993122015
0.127246 -9.132549035603393
0.127761 -10.197508323433588
0.128373 -11.126140221176447
0.129063 -11.802186067617383
0.129814 -12.386974552981906
0.130616 -13.550807258340004
0.131417 -15.632333773510833
0.132177 -18.38364008096547
0.132986 -22.220114820045584
