XYDATA, head_y_rot_accel
0.0 -0.0
1e-06 5.197908
6e-06 4.516157
2e-05 -5.462113
4.1e-05 -8.529206
6.8e-05 -7.077859
0.0001 -6.23578
0.000135 -5.805092
0.000173 -4.642405
0.000214 -2.51148
0.000256 0.084471
0.0003 2.282843
0.000345 3.362484
0.000391 3.137247
0.000438 1.974323
0.000486 0.556858
0.000534 -0.445123
0.000582 -0.683322
0.000631 -0.207617
0.00068 0.799907
0.000729 1.96526
0.000779 2.88669
0.000828 3.40081
0.000878 3.426501
0.000927 2.931235
0.000977 1.941641
0.001027 0.586605
0.001077 -0.854501
0.001127 -1.969284
0.001176 -2.635308
0.001226 -2.672705
0.001276 -1.961144
0.001326 -0.678987
0.001376 0.77578
0.001426 1.998497
0.001476 2.702907
0.001526 2.852068
0.001576 2.405736
0.001626 1.52933
0.001676 0.503684
0.001726 -0.388012
0.001776 -0.956209
0.001826 -1.072574
0.001876 -0.839785
0.001926 -0.494794
0.001976 -0.224455
0.002026 -0.133963
0.002076 -0.256338
0.002126 -0.574919
0.002176 -1.034866
0.002226 -1.539501
0.002276 -1.945508
0.002326 -2.075508
0.002376 -1.772398
0.002426 -0.974379
0.002476 0.232866
0.002526 1.625807
0.002576 2.917488
0.002626 3.855561
0.002676 4.299134
0.002726 4.243926
0.002776 3.797514
0.002826 3.122489
0.002876 2.379364
0.002926 1.689542
0.002976 1.122109
0.003026 0.697389
0.003076 0.397243
0.003126 0.175639
0.003176 -0.026621
0.003226 -0.259663
0.003276 -0.541213
0.003326 -0.844358
0.003376 -1.102852
0.003426 -1.232362
0.003476 -1.161103
0.003526 -0.855024
0.003576 -0.32931
0.003626 0.353633
0.003676 1.096191
0.003726 1.783858
0.003776 2.30883
0.003826 2.596996
0.003876 2.629237
0.003926 2.372548
0.003976 1.880514
0.004026 1.312461
0.004076 0.793077
0.004126 0.398666
0.004176 0.175173
0.004226 0.137171
0.004276 0.269696
0.004326 0.534067
0.004376 0.877562
0.004426 1.246777
0.004476 1.60124
0.004526 1.923471
0.004576 2.221843
0.004626 2.522847
0.004676 2.853846
0.004726 3.223801
0.004776 3.613454
0.004826 3.960565
0.004876 4.190403
0.004926 4.239552
0.004976 4.065279
0.005026 3.668782
0.005076 3.096775
0.005126 2.427877
0.005176 1.753686
0.005226 1.160676
0.005276 0.718387
0.005326 0.47597
0.005376 0.459723
0.005426 0.668644
0.005476 1.07116
0.005526 1.605275
0.005576 2.189003
0.005626 2.740329
0.005676 3.202427
0.005726 3.558691
0.005776 3.828395
0.005826 4.046449
0.005876 4.23897
0.005926 4.407329
0.005976 4.528631
0.006026 4.56727
0.006076 4.492519
0.006126 4.291959
0.006176 3.97731
0.006226 3.582576
0.006276 3.157305
0.006326 2.758689
0.006376 2.444001
0.006426 2.262752
0.006476 2.247907
0.006526 2.409629
0.006576 2.729463
0.006626 3.162262
0.006676 3.645422
0.006726 4.112914
0.006776 4.509409
0.006826 4.799953
0.006876 4.971849
0.006926 5.03206
0.006976 4.998454
0.007026 4.891709
0.007076 4.73348
0.007126 4.54255
0.007176 4.332625
0.007226 4.114806
0.007276 3.900318
0.007326 3.703495
0.007376 3.545223
0.007426 3.454456
0.007476 3.46454
0.007526 3.605426
0.007576 3.893945
0.007626 4.3275
0.007676 4.880698
0.007726 5.508797
0.007776 6.155129
0.007826 6.75997
0.007876 7.26893
0.007926 7.639589
0.007976 7.847883
0.008026 7.888981
0.008076 7.776672
0.008126 7.538921
0.008176 7.211729
0.008226 6.832609
0.008276 6.435126
0.008326 6.045978
0.008376 5.684848
0.008426 5.366133
0.008476 5.10154
0.008526 4.902645
0.008576 4.782059
0.008626 4.751638
0.008676 4.817511
0.008726 4.977097
0.008776 5.216359
0.008826 5.512335
0.008876 5.837645
0.008926 6.164683
0.008976 6.468275
0.009026 6.727076
0.009076 6.924642
0.009126 7.050405
0.009176 7.102655
0.009226 7.08865
0.009276 7.024309
0.009326 6.932075
0.009376 6.837399
0.009426 6.764876
0.009476 6.735129
0.009526 6.763055
0.009576 6.856928
0.009626 7.019928
0.009676 7.249487
0.009726 7.537656
0.009776 7.871283
0.009826 8.232302
0.009876 8.598302
0.009926 8.943989
0.009976 9.243442
0.010026 9.472439
0.010076 9.610479
0.010126 9.643916
